,year,geo_lvl,geo_cd,geo_desc,plan_type,tot_opioid_clms,tot_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_5y_chg,opioid_prscrbng_rate_1y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_5y_chg,la_opioid_prscrbng_rate_1y_chg
97,2021,State,35.0,New Mexico,FFS,6242.0,294632.0,2.12,-7.64,-0.68,208.0,3.33,0.29,-0.57
98,2021,State,35.0,New Mexico,MC,152136.0,4474380.0,3.4,-2.94,-0.12,4351.0,2.86,-0.77,-0.19
99,2021,State,36.0,New York,All,986690.0,67156100.0,1.47,-1.39,-0.14,67699.0,6.86,-2.6,-0.58
100,2021,State,36.0,New York,FFS,37542.0,6431240.0,0.58,-1.1,-0.1,5077.0,13.52,-0.49,0.3
101,2021,State,36.0,New York,MC,949148.0,60724860.0,1.56,-1.44,-0.16,62622.0,6.6,-2.55,-0.57
102,2021,State,37.0,North Carolina,All,506796.0,15676150.0,3.23,-3.01,-0.07,49861.0,9.84,0.01,-1.45
103,2021,State,37.0,North Carolina,FFS,337332.0,10810035.0,3.12,-3.12,-0.18,33149.0,9.83,0.0,-1.46
105,2021,State,38.0,North Dakota,All,29381.0,1044301.0,2.81,-3.12,-0.12,648.0,2.21,-5.33,-0.78
106,2021,State,38.0,North Dakota,FFS,29357.0,956265.0,3.07,-1.72,-0.11,648.0,2.21,-4.84,-0.78
107,2021,State,38.0,North Dakota,MC,24.0,88036.0,0.03,-7.46,-0.01,0.0,0.0,-7.97,0.0
108,2021,State,39.0,Ohio,All,940091.0,39638415.0,2.37,-2.97,-0.07,41456.0,4.41,-0.73,-0.38
109,2021,State,39.0,Ohio,FFS,56888.0,2821678.0,2.02,-2.22,-0.14,4844.0,8.52,-0.16,-0.18
110,2021,State,39.0,Ohio,MC,883203.0,36816737.0,2.4,-3.07,-0.06,36612.0,4.15,-0.67,-0.35
111,2021,State,40.0,Oklahoma,All,293862.0,5776761.0,5.09,-2.09,0.83,78247.0,26.63,17.49,18.79
