Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,State,23,Maine,All,78226,2657803,2.94,-2.18,-0.15,10060,12.86,-2.75,-0.59
2021,State,23,Maine,FFS,78226,2657803,2.94,-2.18,-0.15,10060,12.86,-2.75,-0.59
2021,State,23,Maine,MC,0,0,,,,0,,,
2021,State,24,Maryland,All,446939,13926140,3.21,-2.91,-0.37,38557,8.63,-3.94,-1.11
2021,State,24,Maryland,FFS,18364,4895062,0.38,-0.82,-0.05,2158,11.75,-3.03,-0.89
2021,State,24,Maryland,MC,428575,9031078,4.75,-3.82,-0.56,36399,8.49,-3.92,-1.12
2021,State,25,Massachusetts,All,355272,16157629,2.2,-1.84,0.05,30493,8.58,-0.93,-0.62
2021,State,25,Massachusetts,FFS,174500,8019396,2.18,-1.13,0.08,16432,9.42,-1.55,-0.69
2021,State,25,Massachusetts,MC,180772,8138233,2.22,-2.28,0.03,14061,7.78,-1.04,-0.58
2021,State,26,Michigan,All,942031,27957775,3.37,-3.9,-0.17,41489,4.4,-1.65,-0.58
2021,State,26,Michigan,FFS,72334,8804632,0.82,-1.29,-0.03,5149,7.12,0.52,0.12
2021,State,26,Michigan,MC,869697,19153143,4.54,-5.03,-0.23,36340,4.18,-1.81,-0.63
2021,State,27,Minnesota,All,313000,11336665,2.76,-2.08,0.04,24086,7.7,-0.67,-0.46
2021,State,27,Minnesota,FFS,30911,1505912,2.05,-2.13,-0.11,2570,8.31,-0.69,-0.5
2021,State,27,Minnesota,MC,282089,9830753,2.87,-2.14,0.05,21516,7.63,-0.61,-0.44
2021,State,28,Mississippi,All,160639,5294168,3.03,-3.28,-0.27,6171,3.84,-0.22,-0.46
2021,State,28,Mississippi,FFS,32353,1183249,2.73,-2.29,0.11,1504,4.65,-2.01,-1.47
2021,State,28,Mississippi,MC,128286,4110919,3.12,-3.45,-0.34,4667,3.64,-0.03,-0.34
2021,State,29,Missouri,All,303768,11378235,2.67,-2.88,-0.24,18420,6.06,-3.01,-0.72
2021,State,29,Missouri,FFS,303768,11378235,2.67,-2.88,-0.24,18420,6.06,-3.01,-0.72
2021,State,29,Missouri,MC,0,0,,,,0,,,
2021,State,30,Montana,All,310163,2980056,10.41,2.78,0.66,204535,65.94,57.94,2.99
2021,State,30,Montana,FFS,310163,2980056,10.41,2.78,0.66,204535,65.94,57.94,2.99
2021,State,30,Montana,MC,0,0,,,,0,,,
2021,State,31,Nebraska,All,97671,3310993,2.95,-2.34,-0.16,8819,9.03,-1.5,-1.4
2021,State,31,Nebraska,FFS,13,2147,0.61,-5.06,-0.76,0,0,-10.85,
2021,State,31,Nebraska,MC,97658,3308846,2.95,0.83,-0.17,8819,9.03,5.7,
2021,State,32,Nevada,All,267451,6372498,4.2,-3.95,-0.5,20465,7.65,-1.31,-0.74
2021,State,32,Nevada,FFS,98819,1856551,5.32,-3.19,-0.27,10441,10.57,-1.24,-0.25
2021,State,32,Nevada,MC,168632,4515947,3.73,-4.21,-0.55,10024,5.94,-1.25,-0.96
2021,State,33,New Hampshire,All,41805,2084056,2.01,-2.49,-0.18,4132,9.88,-4.25,-2.92
2021,State,33,New Hampshire,FFS,533,30517,1.75,-4.01,-0.56,73,13.7,3.66,3.49
2021,State,33,New Hampshire,MC,41272,2053539,2.01,-2.33,-0.17,4059,9.83,-4.98,-3.01
2021,State,34,New Jersey,All,445006,19012396,2.34,-2.15,-0.19,32350,7.27,-1.73,-0.8
2021,State,34,New Jersey,FFS,4462,245452,1.82,-2.14,-0.31,873,19.57,-3.23,2.7
2021,State,34,New Jersey,MC,440544,18766944,2.35,-2.15,-0.19,31477,7.15,-1.54,-0.78
2021,State,35,New Mexico,All,158378,4769012,3.32,-3.11,-0.16,4559,2.88,-0.72,-0.21
2021,State,35,New Mexico,FFS,6242,294632,2.12,-7.64,-0.68,208,3.33,0.29,-0.57
2021,State,35,New Mexico,MC,152136,4474380,3.4,-2.94,-0.12,4351,2.86,-0.77,-0.19
2021,State,36,New York,All,986690,67156100,1.47,-1.39,-0.14,67699,6.86,-2.6,-0.58
2021,State,36,New York,FFS,37542,6431240,0.58,-1.1,-0.1,5077,13.52,-0.49,0.3
2021,State,36,New York,MC,949148,60724860,1.56,-1.44,-0.16,62622,6.6,-2.55,-0.57
2021,State,37,North Carolina,All,506796,15676150,3.23,-3.01,-0.07,49861,9.84,0.01,-1.45
2021,State,37,North Carolina,FFS,337332,10810035,3.12,-3.12,-0.18,33149,9.83,0,-1.46
2021,State,37,North Carolina,MC,169464,4866115,3.48,,,16712,9.86,,
2021,State,38,North Dakota,All,29381,1044301,2.81,-3.12,-0.12,648,2.21,-5.33,-0.78
2021,State,38,North Dakota,FFS,29357,956265,3.07,-1.72,-0.11,648,2.21,-4.84,-0.78
2021,State,38,North Dakota,MC,24,88036,0.03,-7.46,-0.01,0,0,-7.97,0
2021,State,39,Ohio,All,940091,39638415,2.37,-2.97,-0.07,41456,4.41,-0.73,-0.38
2021,State,39,Ohio,FFS,56888,2821678,2.02,-2.22,-0.14,4844,8.52,-0.16,-0.18
2021,State,39,Ohio,MC,883203,36816737,2.4,-3.07,-0.06,36612,4.15,-0.67,-0.35
2021,State,40,Oklahoma,All,293862,5776761,5.09,-2.09,0.83,78247,26.63,17.49,18.79
2021,State,40,Oklahoma,FFS,293862,5776761,5.09,-2.09,0.83,78247,26.63,17.49,18.79
2021,State,40,Oklahoma,MC,0,0,,,,0,,,
2021,State,41,Oregon,All,363484,9845328,3.69,-3.74,-0.25,47494,13.07,5.16,1.01
2021,State,41,Oregon,FFS,8422,2394937,0.35,-2.15,-0.15,220,2.61,-9.62,-0.63
2021,State,41,Oregon,MC,355062,7450391,4.77,-4.18,-0.22,47274,13.31,5.78,0.99
2021,State,42,Pennsylvania,All,455083,32695393,1.39,-4.07,-0.21,44975,9.88,1.3,0.11
2021,State,42,Pennsylvania,FFS,4481,412416,1.09,-1.15,-0.03,489,10.91,-4.55,-0.44
2021,State,42,Pennsylvania,MC,450602,32282977,1.4,-4.2,-0.2,44486,9.87,1.41,0.12
